Field_Date,Product,n,Field_LAI_Range,Product_LAI_Range,Range_Retention_Percent
2021-05-10,SNAP,8,1.38203786,0.6799,49.19546849461852
2021-05-10,Copernicus,8,1.38203786,2.38,172.20946465243722
2021-06-15,SNAP,8,8.77449,1.1593199999999997,13.212391831320108
2021-06-15,Copernicus,8,8.77449,4.1000000000000005,46.72636244385714
2021-09-13,SNAP,8,6.2772559999999995,1.14899,18.304016914396993
2021-09-13,Copernicus,8,6.2772559999999995,2.3600000000000003,37.59604515093857
2021-10-04,SNAP,7,5.746943999999999,0.79821,13.889294901777363
2021-10-04,Copernicus,7,5.746943999999999,0.61,10.614336941511873
2021-11-11,SNAP,8,0.8377214,0.15123999999999999,18.053734809687324
2021-11-11,Copernicus,8,0.8377214,0.55,65.65428554170875
